,FECHA_DOC,DESCR,COSTO_UNITARIO
92,2022-01-27,"TUB INOX 7/16""ØX280MM ""U"" 9000W260V PLAC",436.54
93,2022-01-27,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,38.96
94,2022-01-28,"TER K 1/8""ØX15CM EXT2MT MALLA INOX  ZAP",113.22
95,2022-01-28,REPARACION DE SOLDADURA A PLACAS TUBULAR,0.0
96,2022-01-28,"TUB INOX 1/2""Øx500mm LONG ""U"" 2000W 220V",0.0
97,2022-01-28,"TUB INOX 5/16""Øx320mm 4000W 230V TAPON",0.0
98,2022-01-28,"CAS INOX 3/8""ØX2 1/2"" 175W 127V EXT.30CM",0.0
99,2022-01-28,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2 MT,71.25
100,2022-01-28,"TERMOPAR K 3/16Ø  X 1'  1/2 EXT. 2 MT""",75.89
101,2022-01-31,"PT-100 5/16""ØX40CM CON1/2""NPT EXT10M PLI",0.0
102,2022-01-31,"TER EK DOBLE1/2Øx12""x24"" EN INOX-T316""",1041.08
103,2022-01-31,"TERMOPAR K DOBLE CAL8 x18 FUND INOX 316""",1298.68
104,2022-01-31,"TER J 1/4""ØX4"" CON 1/2""-1/2""NPT BLOCK-CA",0.0
105,2022-01-31,"TUB INOX 7/16""Øx280mm U 9000W 240V PLACA",435.3
106,2022-01-31,"TUB INOX 1/4""ØX123MM 250W220V CIRCULAR/M",0.0
107,2022-01-31,FAB BOBINA 8020 2000W 220V BASTIDOR NVO,167.3
108,2022-01-31,"RC 5/16""ØX37CM 300W 110V EXT. 25CM",104.4
109,2022-01-31,"TUB INOX 1/2""ØX2018MM 4000W 250V ESP/BUS",0.0
110,2022-01-31,"TU ""U"" Ø 8 MM X 500 MM 3000 W 220V",0.0
111,2022-01-31,"TUB INOX 5/16""ØX362CM 5000W220 V T/CABLE",0.0
112,2022-01-31,TUE Ø 8 MM X 303 APROX 5000 W 220 V,0.0
113,2022-01-31,"TUBU"" 5/16""Øx21.5cm 2700W220V 3PZ COBRE""",0.0
114,2022-01-31,"TUB INOX 7/16""ØX26CM 2700W 240V ""M"" BUSH",281.94
115,2022-01-31,CAS INOX 12MMØX90MM 220W 110V  EXT.15CMS,0.0
116,2022-01-31,BB INOX 40MMØX60MM 300W 240V EXT.30CM,0.0
117,2022-01-31,"TUB INOX 1/4""Øx280mm 200W 120V RECTA ZAP",13.38
118,2022-02-01,"TUBULAR  J"" 5/16"" 230MM 4500W 220V""",0.0
119,2022-02-01,"TER J 3/16""ØX5"" EXT4MT RES/MALLA INOX",0.0
120,2022-02-01,"TER J 3/16""ØX9"" EXT4MT RES/MALLA INOX",0.0
